"CY18-H1","201806","CY18Q2","2018","HTD-07","FY18-H2","H2","HTM-06","FY18M08","FY18-Q3","Q3","QTD-15","QTM-14","FY18","YTD-04","YTM-03","MTD-44","MTM-43"
"CY19-H1","201906","CY19Q2","2019","HTD-05","FY19-H2","H2","HTM-04","FY19M08","FY19-Q3","Q3","QTD-11","QTM-10","FY19","YTD-03","YTM-02","MTD-32","MTM-31"
"CY19-H2","201908","CY19Q3","2019","HTD-05","FY19-H2","H2","HTM-04","FY19M10","FY19-Q4","Q4","QTD-10","QTM-09","FY19","YTD-03","YTM-02","MTD-30","MTM-29"
"CY19-H2","201912","CY19Q4","2019","HTD-04","FY20-H1","H1","HTM-03","FY20M02","FY20-Q1","Q1","QTD-09","QTM-08","FY20","YTD-02","YTM-01","MTD-26","MTM-25"
"CY20-H2","202010","CY20Q4","2020","HTD-03","FY20-H2","H2","HTM-02","FY20M12","FY20-Q4","Q4","QTD-06","QTM-05","FY20","YTD-02","YTM-01","MTD-16","MTM-15"
"CY21-H1","202104","CY21Q2","2021","HTD-02","FY21-H1","H1","HTM-01","FY21M06","FY21-Q2","Q2","QTD-04","QTM-03","FY21","YTD-01","YTM","MTD-10","MTM-09"
"CY14-H1","201405","CY14Q2","2014","HTD-15","FY14-H2","H2","HTM-14","FY14M07","FY14-Q3","Q3","QTD-31","QTM-30","FY14","YTD-08","YTM-07","MTD-93","MTM-92"
"CY14-H2","201409","CY14Q3","2014","HTD-15","FY14-H2","H2","HTM-14","FY14M11","FY14-Q4","Q4","QTD-30","QTM-29","FY14","YTD-08","YTM-07","MTD-89","MTM-88"
"CY15-H1","201501","CY15Q1","2015","HTD-14","FY15-H1","H1","HTM-13","FY15M03","FY15-Q1","Q1","QTD-29","QTM-28","FY15","YTD-07","YTM-06","MTD-85","MTM-84"
"CY15-H2","201510","CY15Q4","2015","HTD-13","FY15-H2","H2","HTM-12","FY15M12","FY15-Q4","Q4","QTD-26","QTM-25","FY15","YTD-07","YTM-06","MTD-76","MTM-75"
"CY15-H2","201512","CY15Q4","2015","HTD-12","FY16-H1","H1","HTM-11","FY16M02","FY16-Q1","Q1","QTD-25","QTM-24","FY16","YTD-06","YTM-05","MTD-74","MTM-73"
"CY16-H1","201603","CY16Q1","2016","HTD-12","FY16-H1","H1","HTM-11","FY16M05","FY16-Q2","Q2","QTD-24","QTM-23","FY16","YTD-06","YTM-05","MTD-71","MTM-70"
"CY16-H2","201607","CY16Q3","2016","HTD-11","FY16-H2","H2","HTM-10","FY16M09","FY16-Q3","Q3","QTD-23","QTM-22","FY16","YTD-06","YTM-05","MTD-67","MTM-66"
"CY16-H2","201608","CY16Q3","2016","HTD-11","FY16-H2","H2","HTM-10","FY16M10","FY16-Q4","Q4","QTD-22","QTM-21","FY16","YTD-06","YTM-05","MTD-66","MTM-65"
"CY16-H2","201612","CY16Q4","2016","HTD-10","FY17-H1","H1","HTM-09","FY17M02","FY17-Q1","Q1","QTD-21","QTM-20","FY17","YTD-05","YTM-04","MTD-62","MTM-61"
"CY18-H2","201808","CY18Q3","2018","HTD-07","FY18-H2","H2","HTM-06","FY18M10","FY18-Q4","Q4","QTD-14","QTM-13","FY18","YTD-04","YTM-03","MTD-42","MTM-41"
"CY18-H2","201810","CY18Q4","2018","HTD-07","FY18-H2","H2","HTM-06","FY18M12","FY18-Q4","Q4","QTD-14","QTM-13","FY18","YTD-04","YTM-03","MTD-40","MTM-39"
"CY19-H1","201903","CY19Q1","2019","HTD-06","FY19-H1","H1","HTM-05","FY19M05","FY19-Q2","Q2","QTD-12","QTM-11","FY19","YTD-03","YTM-02","MTD-35","MTM-34"
"CY19-H2","201910","CY19Q4","2019","HTD-05","FY19-H2","H2","HTM-04","FY19M12","FY19-Q4","Q4","QTD-10","QTM-09","FY19","YTD-03","YTM-02","MTD-28","MTM-27"
"CY20-H1","202003","CY20Q1","2020","HTD-04","FY20-H1","H1","HTM-03","FY20M05","FY20-Q2","Q2","QTD-08","QTM-07","FY20","YTD-02","YTM-01","MTD-23","MTM-22"
"CY20-H1","202004","CY20Q2","2020","HTD-04","FY20-H1","H1","HTM-03","FY20M06","FY20-Q2","Q2","QTD-08","QTM-07","FY20","YTD-02","YTM-01","MTD-22","MTM-21"
"CY21-H1","202102","CY21Q1","2021","HTD-02","FY21-H1","H1","HTM-01","FY21M04","FY21-Q2","Q2","QTD-04","QTM-03","FY21","YTD-01","YTM","MTD-12","MTM-11"
"CY21-H1","202105","CY21Q2","2021","HTD-01","FY21-H2","H2","HTM","FY21M07","FY21-Q3","Q3","QTD-03","QTM-02","FY21","YTD-01","YTM","MTD-09","MTM-08"
"CY22-H1","202201","CY22Q1","2022","HTD","FY22-H1","H1",".","FY22M03","FY22-Q1","Q1","QTD-01","QTM","FY22","YTD",".","MTD-01","MTM"
"CY17-H2","201709","CY17Q3","2017","HTD-09","FY17-H2","H2","HTM-08","FY17M11","FY17-Q4","Q4","QTD-18","QTM-17","FY17","YTD-05","YTM-04","MTD-53","MTM-52"
"CY20-H1","202006","CY20Q2","2020","HTD-03","FY20-H2","H2","HTM-02","FY20M08","FY20-Q3","Q3","QTD-07","QTM-06","FY20","YTD-02","YTM-01","MTD-20","MTM-19"
"CY21-H2","202108","CY21Q3","2021","HTD-01","FY21-H2","H2","HTM","FY21M10","FY21-Q4","Q4","QTD-02","QTM-01","FY21","YTD-01","YTM","MTD-06","MTM-05"
"CY13-H1","201304","CY13Q2","2013","HTD-18","FY13-H1","H1","HTM-17","FY13M06","FY13-Q2","Q2","QTD-36","QTM-35","FY13","YTD-09","YTM-08","MTD-106","MTM-105"
"CY13-H2","201308","CY13Q3","2013","HTD-17","FY13-H2","H2","HTM-16","FY13M10","FY13-Q4","Q4","QTD-34","QTM-33","FY13","YTD-09","YTM-08","MTD-102","MTM-101"
"CY13-H2","201311","CY13Q4","2013","HTD-16","FY14-H1","H1","HTM-15","FY14M01","FY14-Q1","Q1","QTD-33","QTM-32","FY14","YTD-08","YTM-07","MTD-99","MTM-98"
"CY14-H1","201401","CY14Q1","2014","HTD-16","FY14-H1","H1","HTM-15","FY14M03","FY14-Q1","Q1","QTD-33","QTM-32","FY14","YTD-08","YTM-07","MTD-97","MTM-96"
"CY15-H2","201508","CY15Q3","2015","HTD-13","FY15-H2","H2","HTM-12","FY15M10","FY15-Q4","Q4","QTD-26","QTM-25","FY15","YTD-07","YTM-06","MTD-78","MTM-77"
"CY16-H1","201602","CY16Q1","2016","HTD-12","FY16-H1","H1","HTM-11","FY16M04","FY16-Q2","Q2","QTD-24","QTM-23","FY16","YTD-06","YTM-05","MTD-72","MTM-71"
"CY17-H1","201702","CY17Q1","2017","HTD-10","FY17-H1","H1","HTM-09","FY17M04","FY17-Q2","Q2","QTD-20","QTM-19","FY17","YTD-05","YTM-04","MTD-60","MTM-59"
"CY17-H2","201710","CY17Q4","2017","HTD-09","FY17-H2","H2","HTM-08","FY17M12","FY17-Q4","Q4","QTD-18","QTM-17","FY17","YTD-05","YTM-04","MTD-52","MTM-51"
"CY19-H1","201902","CY19Q1","2019","HTD-06","FY19-H1","H1","HTM-05","FY19M04","FY19-Q2","Q2","QTD-12","QTM-11","FY19","YTD-03","YTM-02","MTD-36","MTM-35"
