"3-VH0KKF","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Distributor","Full Line Distributor","Unknown","Headquarters","Headquarters","10355603","SND","3-VH0KKF","-1","Unknown","Y","Reporting Distributor","Unknown","10355603","SND","3-VH0KKF","Unknown","-1","Unknown","SND HQ","-1","3-VH0KKF","SND Distribuicao de Produtos de Informatica SA","Unknown","Unknown","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-VH0KKF","1","2022-02-20","5","202202","255","-1","256","Distributor","T1 Distributor"
"3-HSIB-15324","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10300557","Alabama Institute For Deaf and Blind","3-HSIB-15324","-1","Unknown","Y","Reporting Final Tier","Unknown","10300557","Alabama Institute For Deaf and Blind","3-HSIB-15324","Unknown","-1","Unknown","Alabama Institute For Deaf and Blind HQ","-1","3-HSIB-15324","Alabama Institute For Deaf and Blind Foundation, Inc.","PM_AMP_POWER","HP Amplify Power Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HSIB-15324","1","2022-02-20","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-HW3I-945","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10320252","Walker's Office Supplies, Inc.","3-HW3I-945","-1","Unknown","Y","Reporting Final Tier","Unknown","10320252","Walker's Office Supplies, Inc.","3-HW3I-945","Unknown","-1","Unknown","Walker's Office Supplies, Inc. HQ","-1","3-HW3I-945","Walker's Office Supplies, Inc.","PM_AMP_SYNERGY","HP Amplify Synergy Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HW3I-945","1","2022-02-20","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-HSIP-6772","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Branch","Headquarters","10266883","CBTS Technology Solutions LLC","3-HSGW-6206","-1","Unknown","Y","Reporting Final Tier","Unknown","10317006","CBTS Technology Solutions LLC","3-HSIP-6772","Unknown","-1","Unknown","CBTS Technology Solutions LLC HQ","-1","3-HSGW-6206","CBTS Technology Solutions LLC","PM_AMP_POWER","HP Amplify Power Partner","22","1","21","CY21Q2","64","0","64","FY21","FY21Q2","FY21H1","125","0","125","0",2021-04-30 00:00:00.0000000,"2021-04-01","4","22","1","21","64","0","64","2021-04-30","3-HSGW-6206","1","2021-05-02","5","202104","253","128","125","Reseller","T2 Reseller"
"3-HW3I-379","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10319686","1212326 Ontario Inc","3-HW3I-379","-1","Unknown","Y","Reporting Final Tier","Unknown","10319686","1212326 Ontario Inc","3-HW3I-379","Unknown","-1","Unknown","1212326 Ontario Inc HQ","-1","3-HW3I-379","1212326 Ontario Inc","PM_AMP_SYNERGY","HP Amplify Synergy Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HW3I-379","1","2022-02-20","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-B7M4C6","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Headquarters","Headquarters","10182833","Radio Shack de México, S.A. de C.V.","3-B7M4C6","-1","Unknown","Y","Non Reporting Final Tier","Unknown","10182833","Radio Shack de México, S.A. de C.V.","3-B7M4C6","Unknown","-1","Unknown","Radio Shack de México, S.A. de C.V. HQ","-1","3-B7M4C6","Radio Shack De Mexico Sa De Cv","Unknown","Unknown","21","1","20","CY19Q4","61","21","40","FY20","FY20Q1","FY20H1","124","84","40","0",2019-12-30 00:00:00.0000000,"2019-12-01","12","21","1","20","61","21","40","2019-12-30","3-B7M4C6","1","2020-01-05","1","201912","252","212","40","Consumer","Consumer"
"3-5L9-714","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Distributor","Full Line Distributor","Unknown","Headquarters","Headquarters","10072491","Stenfar Saic","3-5L9-714","-1","Unknown","Y","Reporting Distributor","Unknown","10072491","Stenfar Saic","3-5L9-714","Unknown","-1","Unknown","Stenfar Saic HQ","-1","3-5L9-714","Stenfar Saic","Unknown","Unknown","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-5L9-714","1","2022-02-20","5","202202","255","-1","256","Distributor","T1 Distributor"
"3-HSIP-1349","991000693555","OFFICE DEPOT GLOBAL HQ","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Subsidiary","Headquarters","10322444","Office Depot Inc","3-HWQB-252","991000693556","OFFICE DEPOT AMS REGIONAL HQ","Y","Reporting Final Tier","Unknown","10311583","Complete Office of Wisconsin, Inc.","3-HSIP-1349","Sub Region","991001059148","OFFICE DEPOT LATAM SUB REGIONAL HQ","OFFICE DEPOT LATAM SUB REGIONAL HQ","991001059148","991000693555","OFFICE DEPOT GLOBAL HQ","PM_AMP_POWER_SERV","HP Amplify Power Services Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HWQB-252","1","2022-02-20","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-I0RY-220","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Consumer","General Retailer","Unknown","Unknown","Headquarters","Headquarters","10323223","Magazine Luiza","3-I0RY-220","-1","Unknown","Y","Reporting Final Tier","Unknown","10323223","Magazine Luiza","3-I0RY-220","Unknown","-1","Unknown","Magazine Luiza HQ","-1","3-I0RY-220","Magazine Luiza S/A.","Unknown","Unknown","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-20 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-20","3-I0RY-220","0","2022-02-20","7","202202","255","-1","256","LA Offline Retailer","LA Offline T1"
"3-V2UW9R","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Distributor","Full Line Distributor","Unknown","Headquarters","Headquarters","10350903","Datasupri Distribuidora EIRELI","3-V2UW9R","-1","Unknown","Y","Reporting Distributor","Unknown","10350903","Datasupri Distribuidora EIRELI","3-V2UW9R","Sub Region","991001076792","DATASUPRI DISTRIBUIDORA LATAM SUB REGIONAL HQ","DATASUPRI DISTRIBUIDORA LATAM SUB REGIONAL HQ","991001076792","991001076792","DATASUPRI DISTRIBUIDORA LATAM SUB REGIONAL HQ","Unknown","Unknown","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-V2UW9R","1","2022-02-20","5","202202","255","-1","256","Distributor","T1 Distributor"
